team,P,W,D,L,GF,GA,GD,points,current_elo
Argentina,7,7,0,0,19,7,12,21,2271
Spain,7,6,1,0,13,1,12,19,2296
England,8,6,1,1,20,12,8,19,2196
France,8,6,0,2,20,10,10,18,2139
Mexico,5,4,0,1,10,3,7,12,2026
Norway,6,4,0,2,13,11,2,12,2025
Belgium,6,3,2,1,14,7,7,11,2019
Switzerland,6,3,2,1,10,6,4,11,1999
Morocco,6,3,2,1,10,6,4,11,2035
Colombia,5,3,2,0,5,1,4,11,2080
Brazil,5,3,1,1,10,4,6,10,2072
United States,5,3,0,2,11,8,3,9,1868
Netherlands,4,2,2,0,11,5,6,8,2048
Portugal,5,2,2,1,8,3,5,8,2061
Germany,4,2,1,1,11,5,6,7,1993
Canada,5,2,1,2,9,6,3,7,1852
Egypt,5,1,3,1,8,7,1,6,1853
Ivory Coast,4,2,0,2,5,4,1,6,1844
Croatia,4,2,0,2,6,7,-1,6,1946
Japan,4,1,2,1,8,5,3,5,1975
Australia,4,1,2,1,3,3,0,5,1905
Paraguay,5,1,2,2,3,6,-3,5,1894
DR Congo,4,1,1,2,5,5,0,4,1806
Ghana,4,1,1,2,2,3,-1,4,1679
South Africa,4,1,1,2,2,4,-2,4,1698
Ecuador,4,1,1,2,2,4,-2,4,1955
Sweden,4,1,1,2,7,10,-3,4,1802
Austria,4,1,1,2,6,9,-3,4,1887
Bosnia and Herzegovina,4,1,1,2,5,8,-3,4,1680
Algeria,4,1,1,2,5,9,-4,4,1853
Senegal,4,1,0,3,10,9,1,3,1874
Iran,3,0,3,0,3,3,0,3,1883
Cape Verde,4,0,3,1,4,5,-1,3,1694
South Korea,3,1,0,2,2,3,-1,3,1841
Turkey,3,1,0,2,3,5,-2,3,1923
Scotland,3,1,0,2,1,4,-3,3,1829
Uruguay,3,0,2,1,3,4,-1,2,1917
Saudi Arabia,3,0,2,1,1,5,-4,2,1709
Czech Republic,3,0,1,2,2,6,-4,1,1758
New Zealand,3,0,1,2,4,10,-6,1,1676
Qatar,3,0,1,2,2,10,-8,1,1553
Curaçao,3,0,1,2,1,9,-8,1,1598
Panama,3,0,0,3,0,4,-4,0,1769
Jordan,3,0,0,3,3,8,-5,0,1718
Haiti,3,0,0,3,2,8,-6,0,1658
Uzbekistan,3,0,0,3,2,11,-9,0,1733
Tunisia,3,0,0,3,2,12,-10,0,1658
Iraq,3,0,0,3,1,12,-11,0,1674
